epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,25248.4,0.46757,0.3409,0.9138,0.99622,0.88889,0.92267,0.86838,0.36732,0.264,0.77338,0.00111776,0.00111776,0.00111776
68,25624.4,0.461,0.34677,0.9164,1,0.94158,0.95891,0.9034,0.38758,0.29485,0.76819,0.00111305,0.00111305,0.00111305
69,26000.1,0.44641,0.32783,0.9079,1,0.94335,0.95137,0.87289,0.37229,0.26807,0.77348,0.00110833,0.00110833,0.00110833
70,26375,0.454,0.3377,0.91412,1,0.93747,0.95811,0.88869,0.39354,0.3057,0.77028,0.00110362,0.00110362,0.00110362
71,26750.1,0.44682,0.32086,0.90471,1,0.9422,0.95708,0.87067,0.40631,0.27676,0.77867,0.0010989,0.0010989,0.0010989
72,27125.4,0.46898,0.34066,0.91063,0.9989,0.94444,0.9506,0.88239,0.38897,0.2877,0.7714,0.00109419,0.00109419,0.00109419
73,27500.5,0.46323,0.34102,0.91115,0.99646,0.94444,0.95305,0.87368,0.44966,0.30389,0.77877,0.00108947,0.00108947,0.00108947
74,27875.6,0.4419,0.32789,0.91199,0.99954,0.94444,0.9603,0.88793,0.38575,0.259,0.76675,0.00108475,0.00108475,0.00108475
75,28250.9,0.45334,0.33002,0.90436,0.99763,0.94444,0.95004,0.88081,0.42458,0.28765,0.77419,0.00108004,0.00108004,0.00108004
76,28625.8,0.44846,0.33838,0.90597,0.99799,0.94444,0.95137,0.88492,0.39024,0.27616,0.76604,0.00107532,0.00107532,0.00107532
77,29000.4,0.41931,0.31932,0.88274,0.99997,0.94444,0.94973,0.87845,0.36533,0.27802,0.76286,0.00107061,0.00107061,0.00107061
78,29375.1,0.4392,0.32094,0.8986,1,0.94205,0.95477,0.86563,0.39276,0.28063,0.77021,0.00106589,0.00106589,0.00106589
79,29749.3,0.44973,0.33398,0.90602,1,0.9414,0.9562,0.90615,0.3641,0.30369,0.76656,0.00106118,0.00106118,0.00106118
80,30124.1,0.45128,0.33214,0.90257,0.99855,0.94444,0.95543,0.88349,0.39199,0.25539,0.79424,0.00105646,0.00105646,0.00105646
81,30499,0.44673,0.32004,0.89829,0.99757,0.94444,0.95647,0.87936,0.42788,0.27471,0.77148,0.00105174,0.00105174,0.00105174
82,30873.7,0.43381,0.32017,0.90136,0.99894,0.94444,0.95291,0.88777,0.38039,0.25933,0.76631,0.00104703,0.00104703,0.00104703
83,31248.9,0.42444,0.31154,0.88992,0.99621,0.88889,0.95442,0.89574,0.39176,0.30783,0.76348,0.00104231,0.00104231,0.00104231
